album,released,name,text
"Ábrete sésamo
      ",2013,Mi Testamento,"Lego al que venga la imparcialidad la voluntad de crecer y entender La mirada feroz e indulgente, para no ofender inutilmente Lego mis ejercicios de respiración Cristo en el Evangelio habla de reencarnación Lego al amigo los años felices de las mas audaces reflexiones La libertad recíproca de no yener ataduras Y me gustaba todo de mi vida mortal Hasta el olor que le daban los esparragos a la orina We never died, we were never born (2) El tiempo perdido quin sabe por qué no se podrá recuperar Los lenguajes urbanos se enlazan y se confunden en lo cotidiano No fuistes hechos para vivir como bestias si no para perseguir virtud y conocimiento La idea de lo visible alerta y mi esperanza espera Desde ramas desnudas gotas de lluvia se desprenden lentamente, mientras la urraca encima, de un ciprés mira Que pena que yo no sep volar mas la oscura caida en las sombras me ha enseñado a remontar Y me gustaba todo de mi vida mortal No nos hemos muerto nunca, no hemos nacido jamas We never died, we were never born"
"Dieci Stratagemmi
      ",2004,La porta dello spavento supremo (il sogno),Il nulla emanava la pietra grigia E attorno campi di zafferano Passavano donne bellissime In sete altere ...
"Come Un Cammello In Una Grondaia
      ",1991,Schmerzen,Ho fatto scalo a grado La domenica di Pasqua Gente per le strade Correva andando a messa L'aria carica d'incenso Alle pareti le stazioni del calvario Gente fintamente assorta Che aspettava la redenzione dei peccati Agnus dei qui tollis peccata Mundi miserere Dona eis requiem Il mio stile è vecchio Come la casa di Tiziano a Pieve di Cadore Nel mio sangue non c'è acqua Ma fiele che ti potrà guarire Ci si illumina d'immenso Mostrando un poco la lingua Al prete che dà l'ostia Ci si sente in paradiso cantando dei salmi un poco stonati Agnus dei qui tollis peccata Mundi miserere Dona eis requiem
"Giubbe Rosse
      ",1989,Giubbe Rosse,Abito in una casa di collina E userò la macchina tre volte al mese Con 2000 lire di benzina Scendo giù in paese Quante lucertole attraversano la strada Vanno veloci ed io più piano ad evitarle Quanti giardini di aranci e limoni Balconi traboccanti di gerani Per Pasqua oppure quando ci si sposa Usiamo per lavarci Petali di rose E le lucertole attraversano la strada Com'è diverso e uguale Il loro mondo dal mio Vivere più a sud Per trovare la mia stella E i cieli e i mari Prima dov'ero Passare dal mercato del pesce Prendere i collari in farmacia per i cani E ritirare i vetri cattedrale del gazebo Il fuoco incandescente del vulcano Allontanò il potere delle Giubbe Rosse E come sembra tutto disumano E certi capi allora e oggi E certe masse Quanti fantasmi ci attraversano la strada Ritornare a sud Per seguire il mio destino La prossima tappa Del mio cammino in me Per trovare la mia stella E i cieli e i mari Prima dov'ero
"Giubbe Rosse
      ",1989,Summer on a solitary beach,"Passammo l'estate Su una spiaggia solitaria E ci arrivava l'eco di un cinema all'aperto E sulla sabbia un caldo tropicale Dal mare E nel pomeriggio Quando il sole ci nutriva Di tanto in tanto un grido copriva le distanze E l'aria delle cose diventava Irreale Mare mare mare voglio annegare Portami lontano a naufragare Via via via da queste sponde Portami lontano sulle onde A wonderful summer On a solitary beach Against the sea ""le grand hotel Sea-Gull Magique"" Mentre lontano un minatore bruno Tornava Mare mare mare voglio annegare..."
"Anthology - Le nostre anime (CD 2)
      ",2015,Del Suo Veloce Volo (Frankestein) - Live At Arena Di Verona / 2013,"E chissà dove sarai amico Ripensandoti ti rivedo in me La visione che avevi dell’amore La tua ironia, e chissà dove sarai Spesso da ragazzi passavamo insieme Sere inutili e fu in un giorno di Festa per gioco lo so, io lo so Lessi nella tua mano, vidi sulla mano La tua fine... E così oggi, dalla mia memoria Scelgo il meglio della vita E del suo veloce volo Che finisce come, sempre accade Troppo presto Qualcosa un po’ di te Mi è rimasto dentro Indimenticabile per gioco Lo so io lo so Lessi nella tua mano Vidi sulla mano La tua fine..."
"Ferro Battuto
      ",2001,Lontananze d'azzurro,"Sembra che non finisca questa lunga notte d’inverno Sembra che tardi il sole come fosse in pericolo Rovine inseguono i ricordi, ma io voglio vivere il presente Senza fine. Il giorno davanti a cui fugga questa notte Voglio lontananze d’azzurro per me Pensa a come eravamo certe volte di domenica... Pieni di ostilità e di oscillazioni Così cancello i miei ricordi Ma io voglio vivere il presente senza fine Il giorno davanti a cui fugga questa notte Voglio lontananze d’azzurro per me Riprenditi la tua libertà, il tuo orgoglio inutile La tua precarietà Domani parto, cambio vita e altitudine"
"Ferro Battuto
      ",2001,Sarcofagia,Fu nefasta e temibile l’età del tempo Di profonda e irrimediabile povertà Quando ancora non si distingueva l’aurora dal tramonto Quando l’aria della prima origine mischiata a torbida E instabile umidità al fuoco ed alla furia dei venti Celava il cielo e gli astri Come può la vista sopportare l’uccisione di esseri Che vengono sgozzati e fatti a pezzi Non ripugna il gusto berne gli umori e il sangue Le carni agli spiedi crude E c’era come un suono di vacche Non è mostruoso desiderare di cibarsi Di un essere che ancora emette suoni Sopravvivono i riti di sarcofagia e cannibalismo
"Fleurs 3
      ",2002,Impressioni di settembre,"Quante gocce di rugiada intorno a me Guardo il sole ma non c'è Dorme ancora la campagna forse no è sveglia, mi guarda non so Già l'odore della terra odor di grano Sale adagio verso me E la vita nel mio petto batte piano Respiro la nebbia penso a te Quanto verde tutto intorno e ancor più in là Sembra quasi un mare d'erba E leggero il mio pensiero corre e va Ho quasi paura che si perda Un cavallo tende il collo verso il prato Resta fermo come me Faccio un passo lui mi vede è già fuggito Respiro la nebbia penso a te No! Cosa sono adesso non lo so Sono un uomo in cerca di sé stesso No! Cosa sono adesso non lo so Sono solo il suono del mio passo... E intanto il sole tra la nebbia filtra già Il giorno come sempre sarà"
"Come Un Cammello In Una Grondaia
      ",1991,Le sacre sinfonie del tempo,"Le sento più vicine le sacre sinfonie del tempo Con una idea: che siamo esseri immortali Caduti nelle tenebre, destinati a errare; Nei secoli dei secoli, fino a completa guarigione Guardando l'orizzonte, un'aria di infinito mi commuove; Anche se a volte, le insidie di energie lunari Specialmente al buio mi fanno vivere nell'apparente inutilità Nella totale confusione ... Che siamo angeli caduti in terra dall'eterno Senza più memoria: per secoli, per secoli Fino a completa guarigione"
"Echoes of Sufi Dances
      ",1985,The trains of Tozeur,"In the frontier villages they Watch the trains pass by so slowly And roads are deserted in Tozeur From a house far away Your mother observes me And she remembers me For my very special ways Then for just a moment my longing To live at another pace begins to waken in me Still they pass, still very slowly The trains for Tozeur In the churches, God-forsaken Shelters are being prepared and new ships For trips among the stars In an old empty mine Vast stretches of salt And a memory of me Like into a magic spell; Then for just a moment my longing To live at another pace begins to waken in me; Still they pass, still very slowly The trains for Tozeur In the frontier villages They watch the trains pass by For Tozeur"
"Giubbe Rosse
      ",1989,L'Era del Cinghiale Bianco,[Strofa 1] Pieni gli alberghi a Tunisi per le vacanze estive A volte un temporale non ci faceva uscire Un uomo di una certa età Mi offriva spesso sigarette turche [Ritornello] Ma spero che ritorni presto l'Era del Cinghiale Bianco Spero che ritorni presto l'Era del Cinghiale Bianco [Strofa 2] Profumi indescrivibili nell'aria della sera Studenti di Damasco vestiti tutti uguali L'ombra della mia identità Mentre sedevo al cinema oppure in un bar [Ritornello] Ma spero che ritorni presto l'Era del Cinghiale Bianco Spero che ritorni presto l'Era del Cinghiale Bianco
"Foetus
      ",1999,A cell,"All my cells start to change And my body has new life Molecules that will die That heredity has left to me I'll be a cell among motors As a cell, I'll live The two of us together we will travel quicker than light Around the sun like time machines Fighting against the time I'll be a cell among motors As a cell I'll live"
"L'Ombrello E La Macchina Da Cucire
      ",1995,Fornicazione,"Fornicammo mentre i fiori si schiudevano Al mattino e di noi prendemmo piacere Sì, l'un l'altro. Libero Ora la mia mente andava Seguiva le orme delle cose che pensava Una canzoncina ardita mi premeva Le ossa del costato... E, il desiderio di tenere Le tue tenere dita Vorrei tra giaculatorie di versi spirare - E rosari composti di spicchi d'arancia E l'aria del mare E l'odore marcio di un vecchio porto E come pesce putrefatto putrefare"
"Gilgamesh
      ",1992,Danza a Corte 1,[Strumentale]
"Foetus
      ",1999,Anaphase,I will go far away Beyond the limits of the air Towards the immensity Above the astronauts Towards the interstellar station
"Echoes of Sufi Dances
      ",1985,The animal,"Living life is not too hard If I can be born again Many things could be changed now A bit of lightness And of stupidity Faking, you're good at faking When you are close to me You always tell me I'm right And I'd like to tell you That I feel better Alone Yes but the animal which is inside me Won't let me live in happiness again He takes all, the coffee too He renders me a slave of all my passions He never does give up He doesn't want to wait And still the animal which is inside me Wants you Inside me signs of fire And water often quenches them If you want them to burn You leave them in the air Or let them be on earth"
"Como Un Camello En Un Canalón
      ",1991,Pobre Patria,"Mi pobre Patria, aplastada por abusos del poder De gente infame que no conoce el pudor Se creen los dueños todopoderosos Y piensan que les pertenece todo Los gobernantes, cuantos perfectos inutiles bufones En esta tierra que el dolor ha devastado Acaso no sentís nada de pena Ante esos cuerpos tendidos sin vida? No cambiará, no cambiarà No cambiarà, quizá cambiará Y como excusarlos, las hienas de la prensa y las de los estadios Chapoteando en el fango como cerdos Yo me avergüenzo un poco y me hace daño Ver a los hombres como animales No cambiará, no cambiarà Sí cambiará verás que cambiará Esperamos que el mundo vuelva a cotas más normales Que pueda contemplar con calma el cielo Que no se hable más de dictaduras Quizá tendremos que ir tirando Mientras la primavera tarda aún en llegar"
"Anthology - Le Nostre Anime (CD 1)
      ",2015,Up Patriots to arms,"La fantasia dei popoli che è giunta fino a noi Non viene dalle stelle... Alla riscossa stupidi che i fiumi sono in piena Potete stare a galla E non è colpa mia se esistono carnefici Se esiste l'imbecillità Se le panchine sono piene di gente che sta male Up patriots to arms, Engagez-Vous La musica contemporanea, mi butta giù L'ayatollah Khomeini per molti è santità Abbocchi sempre all'amo Le barricate in piazza le fai per conto della borghesia Che crea falsi miti di progresso Chi vi credete che noi siam, per i capelli che portiam Noi siamo delle lucciole che stanno nelle tenebre Up patriots to arms, Engagez-Vous La musica contemporanea, mi butta giù L'Impero della musica è giunto fino a noi Carico di menzogne Mandiamoli in pensione i direttori artistici Gli addetti alla cultura... E non è colpa mia se esistono spettacoli Con fumi e raggi laser Se le pedane sono piene Di scemi che si muovono Up patriots to arms, Engagez-Vous La musica contemporanea, mi butta giù"
"Gilgamesh
      ",1992,Ouverture,"[Parlato] Nell’antica città di Uruk, in epoche perdute della memoria, regnò Gilgamesh: colui che tutto intravide. L’eroe a cui i misteri furono manifesti. Estraete la tavoletta di lapislazzuli e leggetela, la storia di quest’uomo che patì sofferenze di ogni genere. Cercò la vita eterna, raggiunse Utnapishtim ‘il Lontano’, e la completa saggezza. Per due terzi divino e per un terzo mortale, come sole possente, invincibile, regnava in Uruk, città dalle mura ben salde, e soverchiava tiranno i suoi sudditi contrariando gli Dei. E gli Dei convennero di dargli un avversario, pari in forza e bellezza: in terra precipitarono una stilla di firmamento…ed ecco sorgere Enkidu, figlio del silenzio, saetta di Ninurta, delle umane cose ignaro. Enkudu, reso umano dall’abbraccio di donna (una sacerdotessa del tempio di Ishtar), verso Uruk si avvia a sfidare Gilgamesh che ne divina nel sogno le mosse e gli intenti. L’incontro è scontro d’astri tremendo, e tremano le mura e sussultano i telai delle porte allo schianto dei corpi avvinghiati alla lotta. Soggiace infine Enkidu, e Gilgamesh vittorioso l’abbraccio gli tende, suggello d’eterna amicizia. Terribile prova ora attende i due amici: nella remota foresta labirinto trapunto di cedri, ove il viaggio si fa passo di danza, sta Khumbaba potenza del male, terrore di umani."
"Gommalacca
      ",1998,Vite parallele,"Mi farò strada tra cento miliardi di stelle La mia anima le attraverserà E su una di esse vivrà eterna Vi sono dicono cento miliardi di galassie Tocco l'infinito con le mani Aggiungo stella a stella Sbucherò da qualche parte Sono sicuro Vivremo per l'eternità Ma già qui Vivo vite parallele Ciascuna con un centro, con un'avventura E qualcuno che mi scalda il cuore Ciascuna mi assicura Addormentato o stanco Braccia che mi stringono Credo nella reincarnazione In quel lungo percorso che fa vivere vite in quantità Ma temo sempre l'oblìo La dimenticanza Giriamo sospesi nel vuoto intorno all'invisibile Ci sarà pure un Motore immobile E già qui Vivo vite parallele Ciascuna con un centro, una speranza La tenerezza di qualcuno Tu pretendi Esclusività di sentimenti Non me ne volere Perché sono curioso, bugiardo E infedele Qui Vivo vite parallele Ciascuna con un centro, con un'avventura E qualcuno che mi scalda il cuore"
"Giubbe Rosse
      ",1989,No U turn,Per conoscere Me e le mie verità Io ho combattuto Fantasmi di angosce Con perdite di io Per distruggere Vecchie realtà Ho galleggiato Su mari di irrazionalità Ho dormito per non morire Buttando i miei miti di carta Su cieli di schizofrenia
"Gommalacca
      ",1998,Il mantello e la spiga,"Sotto l'ombra sospiravi Pastore di ombre e di sotterranei segreti Parlavi di una vita trascorsa Come sempre le foglie cadono d'autunno Intona i canti dei veggenti cedi alla saggezza, alle scintille di fuochi ormai spenti Règolati alle temperature e alle frescure delle notti: Lascia tutto e seguiti Guarda le distese dei campi, perditi in essi e non chiedere altro Lasci un'orma attraverso cui tu stesso ti segui nel tempo e ti riconosci Correvi con la biga nei circhi E fosti pure un'ape delicata Il gentile mantello che coprì le spalle di qualcuno Lascia tutto e seguiti I tuoi occhi dunque trascorrono svagati Ed ozi come una spiga Come sempre le foglie cadono d'autunno Intona i canti dei veggenti cedi alla saggezza, alle scintille di fuochi ormai spenti Règolati alle temperature e alle frescure delle notti: Lascia tutto e seguiti"
"Il Vuoto
      ",2007,The game is over,The game is over in the dark night I knock at your door When I reach the selfish stage I enjoy a certain pleasure But sometimes a vague fear which I cannot describe Dov'è che stiamo andando nel succedersi del tempo Avrai un progetto o no per la tua vita?... andiamo To ask the mind to kill the mind is like making the thief When I reach the selfish stage I enjoy a certain pleasure But sometimes a vague fear which I cannot describe Dov'è che stiamo andando nel succedersi del tempo Avrai un progetto o no per la tua vita?... adesso Discover the nature of mind... no matter how many planets And stars are reflected in a lake no matter how many universes there are
"Gilgamesh
      ",1992,Danza sacra,[Strumentale]
"Joe Patti's Experimental Group
      ",2014,Leoncavallo,"Le pareti (le pareti) del cervello (cervello, cervello) Non hanno (non hanno più, non hanno più) più finestre (finestre, finestre, finestre) Le pareti (le pareti) del cervello (cervello, cervello) Non hanno (non hanno più, non hanno più) più finestre (finestre, finestre, finestre) I colori (i colori, i colori) del buio (del buio, del buio, del buio)"
"Gommalacca
      ",1998,Shock in my town,"Shock in my town Velvet underground Ho sentito urla di furore Di generazioni, senza più passato Di neo-primitivi Rozzi cibernetici signori degli anelli Orgoglio dei manicomi Shock in my town Velvet underground Ho incontrato allucinazioni Stiamo diventando come degli insetti; simili agli insetti Nelle mie orbite si scontrano tribù di sub-urbani Di aminoacidi Latenti shock Shock addizionali, shock addizionali Sveglia Kundalini Sveglia Kundalini, sveglia Kundalini Per scappare via dalla paranoia Mescalina Come dopo un viaggio con la mescalina che finisce male Nel ritorno"
"Fleurs 3
      ",2002,Se tu sapessi,Se tu sapessi come ti amo Non cercheresti di dire parole Che voglion dire io non ti amo Quello che è triste è che tu non lo sai Oggi ho cercato nella tua strada I nostri nomi graffiati sul muro Certo qualcuno li ha cancellati Quello che è triste è che non piangerai Passerai giorni interi senza chiedere di me Ma... Se tu sapessi quanto ti amo...
"Foetus
      ",1999,Mechanics,My eyes are mechanical My heart is made of plastic My brain is mechanical The taste is sinthetic My fingers are mechanical Made of moon dust In a laboratory The genes of love
"Orizzonti Perduti
      ",1983,Un'altra vita,"Certe notti per dormire mi metto a leggere E invece avrei bisogno di attimi di silenzio Certe volte anche con te, e sai che ti voglio bene Mi arrabbio inutilmente senza una vera ragione Sulle strade al mattino il troppo traffico mi sfianca; Mi innervosiscono i semafori e gli stop, e la sera ritorno con malesseri speciali Non servono tranquillanti o terapie Ci vuole un'altra vita Su divani, abbandonati a telecomandi in mano Storie di sottofondo Dallas e i Ricchi Piangono Sulle strade la terza linea del metrò che avanza E macchine parcheggiate in tripla fila E la sera ritorno con la noia e la stanchezza Non servono più eccitanti o ideologie Ci vuole un'altra vita"
"Fleurs
      ",1999,Ruby Tuesday,"She would never say where she came from Yesterday don't matter if it's gone While the sun is bright Or in the darkest night No one knows She comes and goes Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you Don't question why she needs to be so free She'll tell you it's the only way to be She just can't be chained To a life where nothing's gained And nothing's lost At such a cost Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you There's no time to lose, I heard her say Cash your dreams before they slip away Dying all the time Lose your dreams and you Will lose your mind Ain't life unkind Goodbye, Ruby Tuesday Who could hang a name on you? When you change with every new day Still I'm gonna miss you"
"Gommalacca
      ",1998,Shakleton,"1. La storia Una catastrofe psicocosmica Mi sbatte contro le mura del tempo Vigilo, nel sonno vigilo Sentinella, sentinella che vedi? Una catastrofe psicocosmica Contro le mura del tempo Durante la grande guerra Nel Gennaio del 1915 Alle estremità settentrionali un forte vento spingeva grandi blocchi di ghiaccio galleggianti Imprigionando per sempre la nave dell'audace capitano Shakleton Su un piccolo battello Con due soli compagni Navigò fino a raggiungere la Georgia Australe; Mentre i 22 superstiti dell'isola Elefante Sopportavano un tremendo inverno Una catastrofe psicocosmica Mi sbatte contro le mura del tempo Vigilo, nel sonno vigilo Sentinella, che vedi? (Alla deriva, alla deriva, verso Nord, Nord-Ovest Profondità 370 metri 72° di Latitudine Est) Per sopravvivere furono costretti a uccidere i loro cani Per sopravvivere Ma il 30 Agosto del 1916, il leggendario capitano Compariva a salvarli con un'altra nave 2. Il ricordo Stille Dämmerung Der garten ist gefrohren Die Rosen erlitten Sage mir warum Sage mir warum In einem verlorenen Garten Sage mir warum Deine Stimme hören Sage mir warum Schweige bitte nicht"
"Joe Patti's Experimental Group
      ",2014,Omaggio a Giordano Bruno,[Brano strumentale]
"Gommalacca
      ",1998,Auto da fé,"Si è fatto tardi sulle nostre esistenze E il desiderio tra noi due è acqua passata Davvero tu non c'entri niente è solo colpa mia Mi sono accorto tardi Che tutto quello a cui tenevo, ti era indifferente, scivolava via Siamo lontani Distanti Ti parlo e non mi senti E' sceso il buio nelle nostre coscienze E ha reso apocrifa la nostra relazione Vorrei innestare il modo dell'indifferenza E allontanarmi da te; Per presentarmi innanzi al tribunale di una nuova inquisizione Faccio un ""auto da fé"" Dei miei innamoramenti Un ""auto da fé"" Voglio praticare il sesso senza sentimenti E mi piaceva camminare solo Per sentieri ombrosi di montagna Nel mese in cui le foglie cambiano colore Prima di addormentarmi all'ombra del destino"
"Echoes of Sufi Dances
      ",1985,The King of the World,Strange how the rumble of fighter planes once Disturbed the rhythm of the balconies' plants And after silence then far away The sudden cannon's roar And from the radio signals in code One day in heaven fires of Bengala Peace came back again Yet the King of the World Keeps our hearts enchained In the full white dresses Echoes of sufi dances In Japan's undergrounds today Oxygen machines; The more all becomes useless The more we believe it's true And in the final days English will not help And on our bicycles heading for home Life brushed us Yet the King of the World Keeps our hearts enchained
"L'Imboscata
      ",1996,Segunda-Feira,"Ti porto con me Segunda-feira de Lisboa Nel mio antico mare Nell'Acqua Occidentale Nel Mediterraneo Affollato di navi E corpi d'ignudi nuotatori Fanciulli con sguardo da fiere Gli occhi di lince dei Braganza Fissano il Nord Sognando l'oltremare Come ghirlanda intrecciano una danza Trago dentro do meu coraçã Todos lugares onde estive: A entrada de Singapura O coral das Maldivas Macao da noite A uma ora, a uma ora Ti porto con me Segunda-feira de Lisboa Nel mio antico mare Nell'Acqua Occidentale Nel Mediterraneo Affollato di navi e corpi D'ignudi nuotatori Segunda-feira de Lisboa Che nome d'incanto! Qui da noi è lunedì Soltanto"
"Ferro Battuto
      ",2001,Il potere del canto,Sprezza ogni inganno Il canto è potere Si bagna come un prato Si arrampica sugli alberi Fa muovere il giroscopio Spezza ogni inganno Ha la forza di undici aquile Fa smuovere il cuore al faraone
